norad_id,age_days,mean_motion,altitude_km,inclination_deg,eccentricity,bstar,error_km
25544,6.0,15.48303,421.69,51.632,0.00111,0.00013993,44.501
25544,7.0,15.48303,421.69,51.632,0.00111,0.00013993,64.331
25544,0.25,15.4831,421.67,51.632,0.001112,0.00013988,0.094
25544,0.5,15.4831,421.67,51.632,0.001112,0.00013988,0.072
25544,1.0,15.4831,421.67,51.632,0.001112,0.00013988,0.656
25544,1.5,15.4831,421.67,51.632,0.001112,0.00013988,1.648
25544,2.0,15.4831,421.67,51.632,0.001112,0.00013988,3.393
25544,3.0,15.4831,421.67,51.632,0.001112,0.00013988,9.007
25544,4.0,15.4831,421.67,51.632,0.001112,0.00013988,18.285
25544,5.0,15.4831,421.67,51.632,0.001112,0.00013988,31.145
25544,6.0,15.4831,421.67,51.632,0.001112,0.00013988,48.334
25544,7.0,15.4831,421.67,51.632,0.001112,0.00013988,68.767
25544,0.25,15.48311,421.67,51.632,0.001111,0.00013028,0.136
25544,0.5,15.48311,421.67,51.632,0.001111,0.00013028,0.232
25544,1.0,15.48311,421.67,51.632,0.001111,0.00013028,1.205
25544,1.5,15.48311,421.67,51.632,0.001111,0.00013028,2.487
25544,2.0,15.48311,421.67,51.632,0.001111,0.00013028,4.874
25544,3.0,15.48311,421.67,51.632,0.001111,0.00013028,12.235
25544,4.0,15.48311,421.67,51.632,0.001111,0.00013028,23.373
25544,5.0,15.48311,421.67,51.632,0.001111,0.00013028,38.879
25544,6.0,15.48311,421.67,51.632,0.001111,0.00013028,58.909
25544,7.0,15.48311,421.67,51.632,0.001111,0.00013028,82.695
25544,0.25,15.48315,421.66,51.632,0.001113,0.00012933,0.047
25544,0.5,15.48315,421.66,51.632,0.001113,0.00012933,0.024
25544,1.0,15.48315,421.66,51.632,0.001113,0.00012933,1.407
25544,1.5,15.48315,421.66,51.632,0.001113,0.00012933,3.07
25544,2.0,15.48315,421.66,51.632,0.001113,0.00012933,5.747
25544,3.0,15.48315,421.66,51.632,0.001113,0.00012933,13.86
25544,4.0,15.48315,421.66,51.632,0.001113,0.00012933,25.985
25544,5.0,15.48315,421.66,51.632,0.001113,0.00012933,42.607
25544,6.0,15.48315,421.66,51.632,0.001113,0.00012933,63.375
25544,7.0,15.48315,421.66,51.632,0.001113,0.00012933,88.634
25544,0.25,15.48319,421.64,51.632,0.001113,0.00012479,0.68
25544,0.5,15.48319,421.64,51.632,0.001113,0.00012479,0.978
25544,1.0,15.48319,421.64,51.632,0.001113,0.00012479,2.373
25544,1.5,15.48319,421.64,51.632,0.001113,0.00012479,4.87
25544,2.0,15.48319,421.64,51.632,0.001113,0.00012479,8.424
25544,3.0,15.48319,421.64,51.632,0.001113,0.00012479,18.667
25544,4.0,15.48319,421.64,51.632,0.001113,0.00012479,32.559
25544,5.0,15.48319,421.64,51.632,0.001113,0.00012479,51.978
25544,6.0,15.48319,421.64,51.632,0.001113,0.00012479,75.5
25544,7.0,15.48319,421.64,51.632,0.001113,0.00012479,103.11
25544,0.25,15.48328,421.62,51.631,0.001111,0.00014305,0.294
25544,0.5,15.48328,421.62,51.631,0.001111,0.00014305,0.561
25544,1.0,15.48328,421.62,51.631,0.001111,0.00014305,2.04
25544,1.5,15.48328,421.62,51.631,0.001111,0.00014305,4.241
25544,2.0,15.48328,421.62,51.631,0.001111,0.00014305,7.507
25544,3.0,15.48328,421.62,51.631,0.001111,0.00014305,15.924
25544,4.0,15.48328,421.62,51.631,0.001111,0.00014305,28.227
25544,5.0,15.48328,421.62,51.631,0.001111,0.00014305,44.463
25544,6.0,15.48328,421.62,51.631,0.001111,0.00014305,63.931
25544,7.0,15.48328,421.62,51.631,0.001111,0.00014305,86.356
25544,0.25,15.48334,421.6,51.631,0.001113,0.0001711,0.066
25544,0.5,15.48334,421.6,51.631,0.001113,0.0001711,0.177
25544,1.0,15.48334,421.6,51.631,0.001113,0.0001711,0.691
25544,1.5,15.48334,421.6,51.631,0.001113,0.0001711,1.789
25544,2.0,15.48334,421.6,51.631,0.001113,0.0001711,3.82
25544,3.0,15.48334,421.6,51.631,0.001113,0.0001711,8.408
25544,4.0,15.48334,421.6,51.631,0.001113,0.0001711,15.733
25544,5.0,15.48334,421.6,51.631,0.001113,0.0001711,25.432
25544,6.0,15.48334,421.6,51.631,0.001113,0.0001711,37.778
25544,7.0,15.48334,421.6,51.631,0.001113,0.0001711,51.043
25544,0.25,15.48339,421.58,51.631,0.001112,0.00016704,0.364
25544,0.5,15.48339,421.58,51.631,0.001112,0.00016704,0.851
25544,1.0,15.48339,421.58,51.631,0.001112,0.00016704,1.789
25544,1.5,15.48339,421.58,51.631,0.001112,0.00016704,3.842
25544,2.0,15.48339,421.58,51.631,0.001112,0.00016704,6.238
25544,3.0,15.48339,421.58,51.631,0.001112,0.00016704,11.976
25544,4.0,15.48339,421.58,51.631,0.001112,0.00016704,21.395
25544,5.0,15.48339,421.58,51.631,0.001112,0.00016704,32.908
25544,6.0,15.48339,421.58,51.631,0.001112,0.00016704,46.856
25544,7.0,15.48339,421.58,51.631,0.001112,0.00016704,61.861
25544,0.25,15.48343,421.57,51.631,0.001111,0.00018249,0.275
25544,0.5,15.48343,421.57,51.631,0.001111,0.00018249,0.434
25544,1.0,15.48343,421.57,51.631,0.001111,0.00018249,0.833
25544,1.5,15.48343,421.57,51.631,0.001111,0.00018249,2.284
25544,2.0,15.48343,421.57,51.631,0.001111,0.00018249,3.579
25544,3.0,15.48343,421.57,51.631,0.001111,0.00018249,7.403
25544,4.0,15.48343,421.57,51.631,0.001111,0.00018249,13.914
25544,5.0,15.48343,421.57,51.631,0.001111,0.00018249,21.772
25544,6.0,15.48343,421.57,51.631,0.001111,0.00018249,31.259
25544,7.0,15.48343,421.57,51.631,0.001111,0.00018249,41.12
25544,0.25,15.4835,421.55,51.631,0.001103,0.0001882,0.122
25544,0.5,15.4835,421.55,51.631,0.001103,0.0001882,0.283
25544,1.0,15.4835,421.55,51.631,0.001103,0.0001882,1.395
25544,1.5,15.4835,421.55,51.631,0.001103,0.0001882,2.721
25544,2.0,15.4835,421.55,51.631,0.001103,0.0001882,3.587
25544,3.0,15.4835,421.55,51.631,0.001103,0.0001882,7.752
25544,4.0,15.4835,421.55,51.631,0.001103,0.0001882,13.471
25544,5.0,15.4835,421.55,51.631,0.001103,0.0001882,20.51
25544,6.0,15.4835,421.55,51.631,0.001103,0.0001882,28.419
25544,7.0,15.4835,421.55,51.631,0.001103,0.0001882,36.633
25544,0.25,15.48355,421.54,51.631,0.001105,0.00019716,0.076
25544,0.5,15.48355,421.54,51.631,0.001105,0.00019716,0.048
25544,1.0,15.48355,421.54,51.631,0.001105,0.00019716,0.864
25544,1.5,15.48355,421.54,51.631,0.001105,0.00019716,1.736
25544,2.0,15.48355,421.54,51.631,0.001105,0.00019716,2.274
25544,3.0,15.48355,421.54,51.631,0.001105,0.00019716,5.501
25544,4.0,15.48355,421.54,51.631,0.001105,0.00019716,9.133
25544,5.0,15.48355,421.54,51.631,0.001105,0.00019716,14.562
25544,6.0,15.48355,421.54,51.631,0.001105,0.00019716,19.739
25544,7.0,15.48355,421.54,51.631,0.001105,0.00019716,24.823
25544,0.25,15.48355,421.54,51.631,0.001102,0.00019604,0.065
25544,0.5,15.48355,421.54,51.631,0.001102,0.00019604,0.119
25544,1.0,15.48355,421.54,51.631,0.001102,0.00019604,1.003
25544,1.5,15.48355,421.54,51.631,0.001102,0.00019604,1.883
25544,2.0,15.48355,421.54,51.631,0.001102,0.00019604,2.405
25544,3.0,15.48355,421.54,51.631,0.001102,0.00019604,5.835
25544,4.0,15.48355,421.54,51.631,0.001102,0.00019604,9.557
25544,5.0,15.48355,421.54,51.631,0.001102,0.00019604,15.295
25544,6.0,15.48355,421.54,51.631,0.001102,0.00019604,20.666
25544,7.0,15.48355,421.54,51.631,0.001102,0.00019604,26.163
25544,0.25,15.48367,421.5,51.631,0.001107,0.00019757,0.336
25544,0.5,15.48367,421.5,51.631,0.001107,0.00019757,0.441
25544,1.0,15.48367,421.5,51.631,0.001107,0.00019757,1.232
25544,1.5,15.48367,421.5,51.631,0.001107,0.00019757,1.88
25544,2.0,15.48367,421.5,51.631,0.001107,0.00019757,2.528
25544,3.0,15.48367,421.5,51.631,0.001107,0.00019757,6.208
25544,4.0,15.48367,421.5,51.631,0.001107,0.00019757,10.496
25544,5.0,15.48367,421.5,51.631,0.001107,0.00019757,15.226
25544,6.0,15.48367,421.5,51.631,0.001107,0.00019757,19.705
25544,7.0,15.48367,421.5,51.631,0.001107,0.00019757,24.056
25544,0.25,15.48375,421.48,51.632,0.001113,0.00020471,0.058
25544,0.5,15.48375,421.48,51.632,0.001113,0.00020471,0.087
25544,1.0,15.48375,421.48,51.632,0.001113,0.00020471,0.12
25544,1.5,15.48375,421.48,51.632,0.001113,0.00020471,0.228
25544,2.0,15.48375,421.48,51.632,0.001113,0.00020471,1.154
25544,3.0,15.48375,421.48,51.632,0.001113,0.00020471,3.251
25544,4.0,15.48375,421.48,51.632,0.001113,0.00020471,5.824
25544,5.0,15.48375,421.48,51.632,0.001113,0.00020471,8.263
25544,6.0,15.48375,421.48,51.632,0.001113,0.00020471,10.051
25544,7.0,15.48375,421.48,51.632,0.001113,0.00020471,11.218
25544,0.25,15.48378,421.47,51.631,0.001111,0.00019874,0.202
25544,0.5,15.48378,421.47,51.631,0.001111,0.00019874,0.159
25544,1.0,15.48378,421.47,51.631,0.001111,0.00019874,0.343
